,holdings,total,cost_basis,signal,Date,return_rate
32,0.0,1136.1343024869457,0.0,0,2021-05-02,0.11361343024869457
33,0.0,1136.1343024869457,0.0,0,2021-05-03,0.11361343024869457
34,0.0,1136.1343024869457,0.0,0,2021-05-04,0.11361343024869457
35,0.0,1136.1343024869457,0.0,0,2021-05-05,0.11361343024869457
36,0.0,1136.1343024869457,0.0,0,2021-05-06,0.11361343024869457
37,0.1741267293331986,1136.1343024869457,10000.000000000002,1,2021-05-07,0.11361343024869457
38,0.1741267293331986,1136.1343024869457,10000.000000000002,1,2021-05-08,0.11361343024869457
39,0.0,1257.1488526264147,0.0,0,2021-05-09,0.12571488526264146
40,0.0,1257.1488526264147,0.0,0,2021-05-10,0.12571488526264146
41,0.0,1257.1488526264147,0.0,0,2021-05-11,0.12571488526264146
42,0.0,1257.1488526264147,0.0,0,2021-05-12,0.12571488526264146
43,0.20092279172421923,1257.1488526264147,10000.0,1,2021-05-13,0.12571488526264146
44,0.0,1251.413577937612,0.0,0,2021-05-14,0.1251413577937612
45,0.0,1251.413577937612,0.0,0,2021-05-15,0.1251413577937612
46,0.0,1251.413577937612,0.0,0,2021-05-16,0.1251413577937612
47,0.0,1251.413577937612,0.0,0,2021-05-17,0.1251413577937612
48,0.0,1251.413577937612,0.0,0,2021-05-18,0.1251413577937612
49,0.0,1251.413577937612,0.0,0,2021-05-19,0.1251413577937612
50,0.0,1251.413577937612,0.0,0,2021-05-20,0.1251413577937612
51,0.2679058112582366,1251.413577937612,10000.000000000002,1,2021-05-21,0.1251413577937612
52,0.0,1264.3579073957262,0.0,0,2021-05-22,0.12643579073957262
53,0.2879803192892835,1264.3579073957262,10000.000000000002,1,2021-05-23,0.12643579073957262
54,0.0,2414.5919254404635,0.0,0,2021-05-24,0.24145919254404635
55,0.0,2414.5919254404635,0.0,0,2021-05-25,0.24145919254404635
56,0.0,2414.5919254404635,0.0,0,2021-05-26,0.24145919254404635
57,0.0,2414.5919254404635,0.0,0,2021-05-27,0.24145919254404635
58,0.0,2414.5919254404635,0.0,0,2021-05-28,0.24145919254404635
59,0.0,2414.5919254404635,0.0,0,2021-05-29,0.24145919254404635
60,0.0,2414.5919254404635,0.0,0,2021-05-30,0.24145919254404635
61,0.0,2414.5919254404635,0.0,0,2021-05-31,0.24145919254404635
62,0.0,2414.5919254404635,0.0,0,2021-06-01,0.24145919254404635
63,0.0,2414.5919254404635,0.0,0,2021-06-02,0.24145919254404635
64,0.0,2414.5919254404635,0.0,0,2021-06-03,0.24145919254404635
65,0.0,2414.5919254404635,0.0,0,2021-06-04,0.24145919254404635
66,0.0,2414.5919254404635,0.0,0,2021-06-05,0.24145919254404635
67,0.0,2414.5919254404635,0.0,0,2021-06-06,0.24145919254404635
68,0.0,2414.5919254404635,0.0,0,2021-06-07,0.24145919254404635
69,0.0,2414.5919254404635,0.0,0,2021-06-08,0.24145919254404635
70,0.0,2414.5919254404635,0.0,0,2021-06-09,0.24145919254404635
71,0.0,2414.5919254404635,0.0,0,2021-06-10,0.24145919254404635
72,0.0,2414.5919254404635,0.0,0,2021-06-11,0.24145919254404635
73,0.0,2414.5919254404635,0.0,0,2021-06-12,0.24145919254404635
74,0.0,2414.5919254404635,0.0,0,2021-06-13,0.24145919254404635
75,0.0,2414.5919254404635,0.0,0,2021-06-14,0.24145919254404635
76,0.0,2414.5919254404635,0.0,0,2021-06-15,0.24145919254404635
77,0.0,2414.5919254404635,0.0,0,2021-06-16,0.24145919254404635
78,0.0,2414.5919254404635,0.0,0,2021-06-17,0.24145919254404635
79,0.0,2414.5919254404635,0.0,0,2021-06-18,0.24145919254404635
80,0.0,2414.5919254404635,0.0,0,2021-06-19,0.24145919254404635
81,0.0,2414.5919254404635,0.0,0,2021-06-20,0.24145919254404635
82,0.0,2414.5919254404635,0.0,0,2021-06-21,0.24145919254404635
83,0.0,2414.5919254404635,0.0,0,2021-06-22,0.24145919254404635
84,0.2963361605950086,2414.5919254404635,10000.0,1,2021-06-23,0.24145919254404635
85,0.0,2665.9853483167844,0.0,0,2021-06-24,0.26659853483167845
86,0.0,2665.9853483167844,0.0,0,2021-06-25,0.26659853483167845
87,0.0,2665.9853483167844,0.0,0,2021-06-26,0.26659853483167845
88,0.28760611452366014,2665.9853483167844,10000.000000000002,1,2021-06-27,0.26659853483167845
89,0.0,2567.094670511482,0.0,0,2021-06-28,0.2567094670511482
90,0.0,2567.094670511482,0.0,0,2021-06-29,0.2567094670511482
91,0.0,2567.094670511482,0.0,0,2021-06-30,0.2567094670511482
92,0.0,2567.094670511482,0.0,0,2021-07-01,0.2567094670511482
93,0.0,2567.094670511482,0.0,0,2021-07-02,0.2567094670511482
94,0.0,2567.094670511482,0.0,0,2021-07-03,0.2567094670511482
95,0.0,2567.094670511482,0.0,0,2021-07-04,0.2567094670511482
96,-0.29682304674334986,2567.094670511482,10000.0,-1,2021-07-05,0.2567094670511482
97,0.2916431047229367,2724.372141011754,10000.0,1,2021-07-06,0.27243721410117544
98,0.0,2580.284518347611,0.0,0,2021-07-07,0.2580284518347611
99,0.0,2580.284518347611,0.0,0,2021-07-08,0.2580284518347611
100,0.0,2580.284518347611,0.0,0,2021-07-09,0.2580284518347611
101,0.0,2580.284518347611,0.0,0,2021-07-10,0.2580284518347611
102,0.0,2580.284518347611,0.0,0,2021-07-11,0.2580284518347611
103,0.0,2580.284518347611,0.0,0,2021-07-12,0.2580284518347611
104,0.0,2580.284518347611,0.0,0,2021-07-13,0.2580284518347611
105,0.0,2580.284518347611,0.0,0,2021-07-14,0.2580284518347611
106,0.0,2580.284518347611,0.0,0,2021-07-15,0.2580284518347611
107,0.0,2580.284518347611,0.0,0,2021-07-16,0.2580284518347611
108,0.0,2580.284518347611,0.0,0,2021-07-17,0.2580284518347611
109,0.0,2580.284518347611,0.0,0,2021-07-18,0.2580284518347611
110,0.0,2580.284518347611,0.0,0,2021-07-19,0.2580284518347611
111,0.0,2580.284518347611,0.0,0,2021-07-20,0.2580284518347611
112,0.0,2580.284518347611,0.0,0,2021-07-21,0.2580284518347611
113,0.0,2580.284518347611,0.0,0,2021-07-22,0.2580284518347611
114,0.0,2580.284518347611,0.0,0,2021-07-23,0.2580284518347611
115,0.0,2580.284518347611,0.0,0,2021-07-24,0.2580284518347611
116,0.0,2580.284518347611,0.0,0,2021-07-25,0.2580284518347611
117,0.0,2580.284518347611,0.0,0,2021-07-26,0.2580284518347611
118,0.0,2580.284518347611,0.0,0,2021-07-27,0.2580284518347611
119,0.0,2580.284518347611,0.0,0,2021-07-28,0.2580284518347611
120,0.0,2580.284518347611,0.0,0,2021-07-29,0.2580284518347611
121,0.0,2580.284518347611,0.0,0,2021-07-30,0.2580284518347611
122,0.0,2580.284518347611,0.0,0,2021-07-31,0.2580284518347611
123,0.0,2580.284518347611,0.0,0,2021-08-01,0.2580284518347611
124,0.0,2580.284518347611,0.0,0,2021-08-02,0.2580284518347611
125,0.0,2580.284518347611,0.0,0,2021-08-03,0.2580284518347611
126,0.0,2580.284518347611,0.0,0,2021-08-04,0.2580284518347611
127,-0.24472364121029427,2580.284518347611,10000.000000000002,-1,2021-08-05,0.2580284518347611
128,0.0,3063.4688396048223,0.0,0,2021-08-06,0.3063468839604822
129,0.0,3063.4688396048223,0.0,0,2021-08-07,0.3063468839604822
130,0.0,3063.4688396048223,0.0,0,2021-08-08,0.3063468839604822
131,0.0,3063.4688396048223,0.0,0,2021-08-09,0.3063468839604822
132,0.0,3063.4688396048223,0.0,0,2021-08-10,0.3063468839604822
133,0.0,3063.4688396048223,0.0,0,2021-08-11,0.3063468839604822
134,0.0,3063.4688396048223,0.0,0,2021-08-12,0.3063468839604822
135,0.0,3063.4688396048223,0.0,0,2021-08-13,0.3063468839604822
136,0.0,3063.4688396048223,0.0,0,2021-08-14,0.3063468839604822
137,0.0,3063.4688396048223,0.0,0,2021-08-15,0.3063468839604822
138,0.0,3063.4688396048223,0.0,0,2021-08-16,0.3063468839604822
139,0.0,3063.4688396048223,0.0,0,2021-08-17,0.3063468839604822
140,0.0,3063.4688396048223,0.0,0,2021-08-18,0.3063468839604822
141,0.0,3063.4688396048223,0.0,0,2021-08-19,0.3063468839604822
142,0.0,3063.4688396048223,0.0,0,2021-08-20,0.3063468839604822
143,0.0,3063.4688396048223,0.0,0,2021-08-21,0.3063468839604822
144,0.0,3063.4688396048223,0.0,0,2021-08-22,0.3063468839604822
145,0.0,3063.4688396048223,0.0,0,2021-08-23,0.3063468839604822
146,0.0,3063.4688396048223,0.0,0,2021-08-24,0.3063468839604822
147,0.0,3063.4688396048223,0.0,0,2021-08-25,0.3063468839604822
148,0.0,3063.4688396048223,0.0,0,2021-08-26,0.3063468839604822
149,0.0,3063.4688396048223,0.0,0,2021-08-27,0.3063468839604822
150,0.0,3063.4688396048223,0.0,0,2021-08-28,0.3063468839604822
151,0.0,3063.4688396048223,0.0,0,2021-08-29,0.3063468839604822
152,0.0,3063.4688396048223,0.0,0,2021-08-30,0.3063468839604822
153,0.0,3063.4688396048223,0.0,0,2021-08-31,0.3063468839604822
154,0.0,3063.4688396048223,0.0,0,2021-09-01,0.3063468839604822
155,0.0,3063.4688396048223,0.0,0,2021-09-02,0.3063468839604822
