,holdings,total,cost_basis,signal,Date,return_rate
662,0.0,6846.048264791374,0.0,0,2023-01-22,0.6846048264791375
663,0.0,6846.048264791374,0.0,0,2023-01-23,0.6846048264791375
664,0.0,6846.048264791374,0.0,0,2023-01-24,0.6846048264791375
665,0.0,6846.048264791374,0.0,0,2023-01-25,0.6846048264791375
666,0.0,6846.048264791374,0.0,0,2023-01-26,0.6846048264791375
667,0.0,6846.048264791374,0.0,0,2023-01-27,0.6846048264791375
668,0.0,6846.048264791374,0.0,0,2023-01-28,0.6846048264791375
669,0.0,6846.048264791374,0.0,0,2023-01-29,0.6846048264791375
670,0.0,6846.048264791374,0.0,0,2023-01-30,0.6846048264791375
671,0.0,6846.048264791374,0.0,0,2023-01-31,0.6846048264791375
672,0.0,6846.048264791374,0.0,0,2023-02-01,0.6846048264791375
673,0.0,6846.048264791374,0.0,0,2023-02-02,0.6846048264791375
674,0.0,6846.048264791374,0.0,0,2023-02-03,0.6846048264791375
675,0.0,6846.048264791374,0.0,0,2023-02-04,0.6846048264791375
676,0.0,6846.048264791374,0.0,0,2023-02-05,0.6846048264791375
677,0.0,6846.048264791374,0.0,0,2023-02-06,0.6846048264791375
678,0.0,6846.048264791374,0.0,0,2023-02-07,0.6846048264791375
679,0.0,6846.048264791374,0.0,0,2023-02-08,0.6846048264791375
680,0.0,6846.048264791374,0.0,0,2023-02-09,0.6846048264791375
681,0.0,6846.048264791374,0.0,0,2023-02-10,0.6846048264791375
682,0.0,6846.048264791374,0.0,0,2023-02-11,0.6846048264791375
683,0.0,6846.048264791374,0.0,0,2023-02-12,0.6846048264791375
684,0.0,6846.048264791374,0.0,0,2023-02-13,0.6846048264791375
685,0.44955413913118036,6846.048264791374,10000.000000000002,1,2023-02-14,0.6846048264791375
686,0.0,7759.166602986652,0.0,0,2023-02-15,0.7759166602986652
687,0.0,7759.166602986652,0.0,0,2023-02-16,0.7759166602986652
688,0.0,7759.166602986652,0.0,0,2023-02-17,0.7759166602986652
689,0.0,7759.166602986652,0.0,0,2023-02-18,0.7759166602986652
690,0.0,7759.166602986652,0.0,0,2023-02-19,0.7759166602986652
691,0.0,7759.166602986652,0.0,0,2023-02-20,0.7759166602986652
692,0.0,7759.166602986652,0.0,0,2023-02-21,0.7759166602986652
693,0.0,7759.166602986652,0.0,0,2023-02-22,0.7759166602986652
694,0.0,7759.166602986652,0.0,0,2023-02-23,0.7759166602986652
695,0.0,7759.166602986652,0.0,0,2023-02-24,0.7759166602986652
696,0.0,7759.166602986652,0.0,0,2023-02-25,0.7759166602986652
697,0.0,7759.166602986652,0.0,0,2023-02-26,0.7759166602986652
698,0.0,7759.166602986652,0.0,0,2023-02-27,0.7759166602986652
699,0.0,7759.166602986652,0.0,0,2023-02-28,0.7759166602986652
700,0.0,7759.166602986652,0.0,0,2023-03-01,0.7759166602986652
701,0.0,7759.166602986652,0.0,0,2023-03-02,0.7759166602986652
702,0.0,7759.166602986652,0.0,0,2023-03-03,0.7759166602986652
703,0.0,7759.166602986652,0.0,0,2023-03-04,0.7759166602986652
704,0.0,7759.166602986652,0.0,0,2023-03-05,0.7759166602986652
705,0.0,7759.166602986652,0.0,0,2023-03-06,0.7759166602986652
706,0.0,7759.166602986652,0.0,0,2023-03-07,0.7759166602986652
707,0.0,7759.166602986652,0.0,0,2023-03-08,0.7759166602986652
708,0.0,7759.166602986652,0.0,0,2023-03-09,0.7759166602986652
709,0.0,7759.166602986652,0.0,0,2023-03-10,0.7759166602986652
710,0.0,7759.166602986652,0.0,0,2023-03-11,0.7759166602986652
711,0.0,7759.166602986652,0.0,0,2023-03-12,0.7759166602986652
712,0.4138776302736039,7759.166602986652,10000.0,1,2023-03-13,0.7759166602986652
713,0.0,7949.286580538344,0.0,0,2023-03-14,0.7949286580538344
714,0.0,7949.286580538344,0.0,0,2023-03-15,0.7949286580538344
715,0.3992206803711998,7949.286580538344,10000.0,1,2023-03-16,0.7949286580538344
716,0.3992206803711998,7949.286580538344,10000.0,1,2023-03-17,0.7949286580538344
717,0.3992206803711998,7949.286580538344,10000.0,1,2023-03-18,0.7949286580538344
718,0.0,9094.31124483499,0.0,0,2023-03-19,0.9094311244834989
719,0.0,9094.31124483499,0.0,0,2023-03-20,0.9094311244834989
720,0.3550920856349295,9094.31124483499,10000.000000000002,1,2023-03-21,0.9094311244834989
721,0.0,8751.571486767905,0.0,0,2023-03-22,0.8751571486767905
722,0.0,8751.571486767905,0.0,0,2023-03-23,0.8751571486767905
723,0.0,8751.571486767905,0.0,0,2023-03-24,0.8751571486767905
724,0.0,8751.571486767905,0.0,0,2023-03-25,0.8751571486767905
725,0.0,8751.571486767905,0.0,0,2023-03-26,0.8751571486767905
726,-0.36866518635490403,8751.571486767905,10000.0,-1,2023-03-27,0.8751571486767905
727,0.0,8801.768888344535,0.0,0,2023-03-28,0.8801768888344536
728,0.0,8801.768888344535,0.0,0,2023-03-29,0.8801768888344536
729,0.0,8801.768888344535,0.0,0,2023-03-30,0.8801768888344536
730,0.0,8801.768888344535,0.0,0,2023-03-31,0.8801768888344536
731,0.0,8801.768888344535,0.0,0,2023-04-01,0.8801768888344536
732,0.0,8801.768888344535,0.0,0,2023-04-02,0.8801768888344536
733,0.0,8801.768888344535,0.0,0,2023-04-03,0.8801768888344536
734,0.0,8801.768888344535,0.0,0,2023-04-04,0.8801768888344536
735,0.0,8801.768888344535,0.0,0,2023-04-05,0.8801768888344536
736,0.0,8801.768888344535,0.0,0,2023-04-06,0.8801768888344536
737,0.0,8801.768888344535,0.0,0,2023-04-07,0.8801768888344536
738,0.0,8801.768888344535,0.0,0,2023-04-08,0.8801768888344536
739,0.0,8801.768888344535,0.0,0,2023-04-09,0.8801768888344536
740,0.0,8801.768888344535,0.0,0,2023-04-10,0.8801768888344536
741,0.0,8801.768888344535,0.0,0,2023-04-11,0.8801768888344536
742,0.0,8801.768888344535,0.0,0,2023-04-12,0.8801768888344536
743,0.0,8801.768888344535,0.0,0,2023-04-13,0.8801768888344536
744,0.0,8801.768888344535,0.0,0,2023-04-14,0.8801768888344536
745,0.0,8801.768888344535,0.0,0,2023-04-15,0.8801768888344536
746,0.0,8801.768888344535,0.0,0,2023-04-16,0.8801768888344536
747,0.0,8801.768888344535,0.0,0,2023-04-17,0.8801768888344536
748,0.0,8801.768888344535,0.0,0,2023-04-18,0.8801768888344536
749,0.0,8801.768888344535,0.0,0,2023-04-19,0.8801768888344536
750,0.0,8801.768888344535,0.0,0,2023-04-20,0.8801768888344536
751,0.0,8801.768888344535,0.0,0,2023-04-21,0.8801768888344536
752,-0.35949469476270685,8801.768888344535,10000.000000000002,-1,2023-04-22,0.8801768888344536
753,0.36171848238349086,8720.433294990145,10000.0,1,2023-04-23,0.8720433294990145
754,0.0,8651.752671063328,0.0,0,2023-04-24,0.8651752671063329
755,0.0,8651.752671063328,0.0,0,2023-04-25,0.8651752671063329
756,0.0,8651.752671063328,0.0,0,2023-04-26,0.8651752671063329
757,0.0,8651.752671063328,0.0,0,2023-04-27,0.8651752671063329
758,0.0,8651.752671063328,0.0,0,2023-04-28,0.8651752671063329
759,0.0,8651.752671063328,0.0,0,2023-04-29,0.8651752671063329
760,0.0,8651.752671063328,0.0,0,2023-04-30,0.8651752671063329
761,0.0,8651.752671063328,0.0,0,2023-05-01,0.8651752671063329
762,0.0,8651.752671063328,0.0,0,2023-05-02,0.8651752671063329
763,0.0,8651.752671063328,0.0,0,2023-05-03,0.8651752671063329
764,0.0,8651.752671063328,0.0,0,2023-05-04,0.8651752671063329
765,0.0,8651.752671063328,0.0,0,2023-05-05,0.8651752671063329
766,0.0,8651.752671063328,0.0,0,2023-05-06,0.8651752671063329
767,0.0,8651.752671063328,0.0,0,2023-05-07,0.8651752671063329
