,Date,close,signal,holdings,price_change,daily_return,cumulative_return
0,2021-03-31,58740.55,0,0,0.0,0.0,0.0
1,2021-04-01,58720.44,0,0,-0.00034235294017503914,0.0,0.0
2,2021-04-02,58950.01,0,0,0.0039095415497567565,0.0,0.0
3,2021-04-03,57051.94,0,0,-0.03219795891468047,0.0,0.0
4,2021-04-04,58202.01,0,0,0.020158297859809826,0.0,0.0
5,2021-04-05,59129.99,0,0,0.015944122891975665,0.0,0.0
6,2021-04-06,57991.15,-1,0,-0.019259938992041037,0.0,0.0
7,2021-04-07,55953.45,-1,0,-0.03513812021317053,0.0,0.0
8,2021-04-08,58077.52,1,1,0.03796137682305556,0.0,0.0
9,2021-04-09,58142.54,1,1,0.0011195381620978662,0.0011195381620978662,0.0011195381620978662
10,2021-04-10,59769.13,1,1,0.0279759019815784,0.0279759019815784,0.029095440143676266
11,2021-04-11,60002.43,1,1,0.0039033527842884386,0.0039033527842884386,0.032998792927964704
12,2021-04-12,59860.0,1,1,-0.002373737196976866,-0.002373737196976866,0.030625055730987838
13,2021-04-13,63575.0,1,1,0.062061476779151414,0.062061476779151414,0.09268653251013925
14,2021-04-14,62959.53,1,1,-0.009681006685017701,-0.009681006685017701,0.08300552582512155
15,2021-04-15,63159.98,1,1,0.003183791238594136,0.003183791238594136,0.08618931706371569
16,2021-04-16,61334.8,-1,0,-0.028897729226640023,-0.028897729226640023,0.057291587837075664
17,2021-04-17,60006.66,-1,0,-0.021653938710161302,0.0,0.057291587837075664
18,2021-04-18,56150.01,-1,0,-0.06427036598937519,0.0,0.057291587837075664
19,2021-04-19,55633.14,-1,0,-0.009205163097922964,0.0,0.057291587837075664
20,2021-04-20,56425.0,-1,0,0.01423360248945138,0.0,0.057291587837075664
21,2021-04-21,53787.63,-1,0,-0.0467411608329642,0.0,0.057291587837075664
22,2021-04-22,51690.96,-1,0,-0.03898052396062068,0.0,0.057291587837075664
23,2021-04-23,51125.14,-1,0,-0.010946208002327706,0.0,0.057291587837075664
24,2021-04-24,50047.84,-1,0,-0.021071824937789918,0.0,0.057291587837075664
25,2021-04-25,49066.77,-1,0,-0.019602644190038987,0.0,0.057291587837075664
26,2021-04-26,54001.39,1,1,0.10056948928979836,0.0,0.057291587837075664
27,2021-04-27,55011.97,1,1,0.0187139627331816,0.0187139627331816,0.07600555057025726
28,2021-04-28,54846.22,1,1,-0.0030129806294884043,-0.0030129806294884043,0.07299256994076886
29,2021-04-29,53555.0,1,1,-0.023542552248814963,-0.023542552248814963,0.049450017691953896
30,2021-04-30,57694.27,1,1,0.07729007562319112,0.07729007562319112,0.12674009331514502
31,2021-05-01,57800.37,1,1,0.0018390041160067927,0.0018390041160067927,0.1285790974311518
32,2021-05-02,56578.21,1,1,-0.021144501324126486,-0.021144501324126486,0.10743459610702533
33,2021-05-03,57169.39,1,1,0.010448898966580966,0.010448898966580966,0.11788349507360629
