hour,token_col,collateral_amount_usd,debt_amount_usd,extracted,liquidation_count
2025-02-14 03:00:00,WBTC,0,0,0,0
2025-02-14 02:00:00,WBTC,0,0,0,0
2025-02-14 01:00:00,WBTC,0,0,0,0
2025-02-14 00:00:00,WBTC,0,0,0,0
2025-02-13 23:00:00,WBTC,0,0,0,0
2025-02-13 22:00:00,WBTC,0,0,0,0
2025-02-13 21:00:00,WBTC,0,0,0,0
2025-02-13 20:00:00,WBTC,0,0,0,0
2025-02-13 19:00:00,WBTC,0,0,0,0
2025-02-13 18:00:00,WBTC,0,0,0,0
2025-02-13 17:00:00,WBTC,0,0,0,0
2025-02-13 16:00:00,WBTC,0,0,0,0
2025-02-13 15:00:00,WBTC,0,0,0,0
2025-02-13 14:00:00,WBTC,0,0,0,0
2025-02-13 13:00:00,WBTC,0,0,0,0
2025-02-13 12:00:00,WBTC,0,0,0,0
2025-02-13 11:00:00,WBTC,0,0,0,0
2025-02-13 10:00:00,WBTC,0,0,0,0
2025-02-13 09:00:00,WBTC,0,0,0,0
2025-02-13 08:00:00,WBTC,0,0,0,0
2025-02-13 07:00:00,WBTC,0,0,0,0
2025-02-13 06:00:00,WBTC,0,0,0,0
2025-02-13 05:00:00,WBTC,40.04074255050003,37.71252610419001,2.328216446310016,1
2025-02-13 04:00:00,WBTC,0,0,0,0
2025-02-13 03:00:00,WBTC,0,0,0,0
2025-02-13 02:00:00,WBTC,0,0,0,0
2025-02-13 01:00:00,WBTC,0,0,0,0
2025-02-13 00:00:00,WBTC,0,0,0,0
2025-02-12 23:00:00,WBTC,0,0,0,0
2025-02-12 22:00:00,WBTC,269.98784340666646,256.56609453175076,13.421748874915693,1
2025-02-12 21:00:00,WBTC,0,0,0,0
2025-02-12 20:00:00,WBTC,0,0,0,0
2025-02-12 19:00:00,WBTC,0,0,0,0
2025-02-12 18:00:00,WBTC,0,0,0,0
2025-02-12 17:00:00,WBTC,0,0,0,0
2025-02-12 16:00:00,WBTC,0,0,0,0
2025-02-12 15:00:00,WBTC,0,0,0,0
2025-02-12 14:00:00,WBTC,0,0,0,0
2025-02-12 13:00:00,WBTC,0,0,0,0
2025-02-12 12:00:00,WBTC,0,0,0,0
2025-02-12 11:00:00,WBTC,0,0,0,0
2025-02-12 10:00:00,WBTC,0,0,0,0
2025-02-12 09:00:00,WBTC,0,0,0,0
2025-02-12 08:00:00,WBTC,0,0,0,0
2025-02-12 07:00:00,WBTC,0,0,0,0
2025-02-12 06:00:00,WBTC,0,0,0,0
2025-02-12 05:00:00,WBTC,39.565571143566686,37.69036814990933,1.8752029936573535,1
2025-02-12 04:00:00,WBTC,0,0,0,0
2025-02-12 03:00:00,WBTC,0,0,0,0
2025-02-12 02:00:00,WBTC,0,0,0,0
2025-02-12 01:00:00,WBTC,0,0,0,0
2025-02-12 00:00:00,WBTC,0,0,0,0
2025-02-11 23:00:00,WBTC,0,0,0,0
