hour,hourly_net_amount,hourly_net_amount_usd,cumulative_amount,cumulative_amount_usd
2025-02-18 07:00:00.000 UTC,3453.8893374911486,9207999.895964652,2013018.0100812565,4509663383.673219
2025-02-18 06:00:00.000 UTC,1540.9158256211595,4129407.866132608,2009564.1207437653,4500455383.777254
2025-02-18 05:00:00.000 UTC,-4917.227323741338,-13297411.990227515,2008023.204918144,4496325975.911121
2025-02-18 04:00:00.000 UTC,-73.64777974473812,-199958.14087374866,2012940.4322418855,4509623387.901349
2025-02-18 03:00:00.000 UTC,814.7070191567202,2212703.5286786943,2013014.0800216303,4509823346.042223
2025-02-18 02:00:00.000 UTC,42.84555898537705,117365.98281746366,2012199.3730024735,4507610642.513544
2025-02-18 01:00:00.000 UTC,-32.68447020387214,-89030.86261183751,2012156.5274434881,4507493276.530726
2025-02-18 00:00:00.000 UTC,-57.243615618449276,-157188.10630748078,2012189.211913692,4507582307.393338
2025-02-17 23:00:00.000 UTC,-6.323058683732361,-17339.59736722558,2012246.4555293105,4507739495.499645
2025-02-17 22:00:00.000 UTC,-83.27183313698364,-231054.35540518851,2012252.7785879942,4507756835.0970125
2025-02-17 21:00:00.000 UTC,1171.5671031204986,3206872.053016585,2012336.050421131,4507987889.452417
2025-02-17 20:00:00.000 UTC,872.0253718286875,2372929.2810590696,2011164.4833180106,4504781017.399401
2025-02-17 19:00:00.000 UTC,69.70135169330483,188461.99977594227,2010292.457946182,4502408088.118341
2025-02-17 18:00:00.000 UTC,913.5561533519951,2502732.7599154585,2010222.7565944886,4502219626.118566
2025-02-17 17:00:00.000 UTC,1069.961131404249,2922481.134706252,2009309.2004411367,4499716893.35865
2025-02-17 16:00:00.000 UTC,-1285.2776433859124,-3543189.143404114,2008239.2393097326,4496794412.223944
2025-02-17 15:00:00.000 UTC,-589.2242418786965,-1664293.3323984724,2009524.5169531184,4500337601.367348
2025-02-17 14:00:00.000 UTC,-1356.581302584897,-3769179.7543539815,2010113.741194997,4502001894.699746
2025-02-17 13:00:00.000 UTC,-294.7297948120626,-816183.4315812526,2011470.3224975818,4505771074.4541
2025-02-17 12:00:00.000 UTC,6746.167815320113,18592843.269091148,2011765.052292394,4506587257.885681
2025-02-17 11:00:00.000 UTC,27.15846193475538,74783.54078354241,2005018.8844770738,4487994414.61659
2025-02-17 10:00:00.000 UTC,-9486.703714803769,-25949265.272214193,2004991.7260151391,4487919631.075806
2025-02-17 09:00:00.000 UTC,2108.2262944474787,5724256.034683794,2014478.429729943,4513868896.34802
2025-02-17 08:00:00.000 UTC,862.7018495618444,2316708.173831872,2012370.2034354955,4508144640.313335
2025-02-17 07:00:00.000 UTC,20.34776004283518,54703.52853195938,2011507.5015859336,4505827932.1395035
2025-02-17 06:00:00.000 UTC,-9080.849472659089,-24264756.258902896,2011487.1538258907,4505773228.610971
2025-02-17 05:00:00.000 UTC,20601.78098747432,54924554.13041642,2020568.00329855,4530037984.869874
2025-02-17 04:00:00.000 UTC,6060.469192939147,16207270.343909446,1999966.2223110755,4475113430.739457
2025-02-17 03:00:00.000 UTC,4880.572010241164,13042401.388687566,1993905.7531181364,4458906160.395548
2025-02-17 02:00:00.000 UTC,-324.1962448097537,-869653.1847397161,1989025.1811078952,4445863759.006861
2025-02-17 01:00:00.000 UTC,2481.7252518873565,6633080.80148697,1989349.377352705,4446733412.191601
2025-02-17 00:00:00.000 UTC,343.8685318641696,916784.454117744,1986867.6521008175,4440100331.390114
2025-02-16 23:00:00.000 UTC,16.4881297020947,44205.335256503975,1986523.7835689534,4439183546.935996
2025-02-16 22:00:00.000 UTC,18.724722901743043,50329.43369867906,1986507.2954392512,4439139341.6007395
2025-02-16 21:00:00.000 UTC,473.1892669384718,1265757.629597065,1986488.5707163494,4439089012.167041
2025-02-16 20:00:00.000 UTC,-352.51395312363775,-946894.7797644658,1986015.381449411,4437823254.537444
2025-02-16 19:00:00.000 UTC,727.7775335587096,1951862.956127781,1986367.8954025346,4438770149.317208
2025-02-16 18:00:00.000 UTC,92.56851949063386,249088.0006713721,1985640.117868976,4436818286.36108
2025-02-16 17:00:00.000 UTC,102.54801657493678,276822.2178630474,1985547.5493494854,4436569198.360409
2025-02-16 16:00:00.000 UTC,192.60545905192652,519747.75730621425,1985445.0013329105,4436292376.142546
2025-02-16 15:00:00.000 UTC,325.4438431138219,876872.6364474506,1985252.3958738586,4435772628.38524
2025-02-16 14:00:00.000 UTC,-842.9782594779967,-2273613.5232032943,1984926.9520307449,4434895755.748792
2025-02-16 13:00:00.000 UTC,-659.6281650650271,-1786596.2887969753,1985769.9302902229,4437169369.271995
2025-02-16 12:00:00.000 UTC,1208.2817685727694,3278491.3367569237,1986429.558455288,4438955965.560792
2025-02-16 11:00:00.000 UTC,73.28392408492131,197818.2276393915,1985221.2766867152,4435677474.224035
2025-02-16 10:00:00.000 UTC,68.98240850296996,186739.51876204985,1985147.9927626303,4435479655.996396
2025-02-16 09:00:00.000 UTC,218.1235403877598,588791.7787456993,1985079.0103541273,4435292916.477634
2025-02-16 08:00:00.000 UTC,5065.087538552375,13663073.63524503,1984860.8868137395,4434704124.698889
2025-02-16 07:00:00.000 UTC,299.64421996867026,813132.5339601816,1979795.799275187,4421041051.063643
2025-02-16 06:00:00.000 UTC,344.93072228178926,935438.3215993212,1979496.1550552184,4420227918.529683
2025-02-16 05:00:00.000 UTC,-29.80970451903814,-80652.54035261921,1979151.2243329366,4419292480.208084
2025-02-16 04:00:00.000 UTC,43.399884048637624,117213.53884087953,1979181.0340374557,4419373132.748437
2025-02-16 03:00:00.000 UTC,-27.89734534036639,-75163.81755054917,1979137.634153407,4419255919.209596
2025-02-16 02:00:00.000 UTC,-448.6025533361651,-1212711.7684591885,1979165.5314987474,4419331083.027146
2025-02-16 01:00:00.000 UTC,57.592194500952786,155740.8123694765,1979614.1340520836,4420543794.795606
2025-02-16 00:00:00.000 UTC,0.2003528673911871,540.2174469328795,1979556.5418575827,4420388053.983236
2025-02-15 23:00:00.000 UTC,-181.0860242088974,-488408.9267540593,1979556.3415047154,4420387513.765789
2025-02-15 22:00:00.000 UTC,3.4074016574470716,9206.526686289391,1979737.4275289243,4420875922.692543
2025-02-15 21:00:00.000 UTC,-14.599490340667785,-39253.35768914666,1979734.0201272669,4420866716.165856
2025-02-15 20:00:00.000 UTC,-75.73664191439202,-204101.16156225678,1979748.6196176074,4420905969.523545
2025-02-15 19:00:00.000 UTC,58.96895131755967,159518.08958815702,1979824.3562595218,4421110070.685107
2025-02-15 18:00:00.000 UTC,-4990.838100398531,-13414474.463013181,1979765.3873082043,4420950552.595519
2025-02-15 17:00:00.000 UTC,90.44484468668,243481.13969033002,1984756.2254086027,4434365027.058533
2025-02-15 16:00:00.000 UTC,-3006.316470920723,-8094747.60327172,1984665.780563916,4434121545.918842
2025-02-15 15:00:00.000 UTC,7.374798592508232,19855.022754638063,1987672.097034837,4442216293.522114
2025-02-15 14:00:00.000 UTC,344.9100009842328,934875.1085677531,1987664.7222362445,4442196438.499359
2025-02-15 13:00:00.000 UTC,-822.5191095869817,-2231444.9931629063,1987319.8122352601,4441261563.390791
2025-02-15 12:00:00.000 UTC,124.18495183388882,336482.8525424768,1988142.331344847,4443493008.383954
2025-02-15 11:00:00.000 UTC,-258.27332568395417,-700661.9570482287,1988018.1463930132,4443156525.531411
2025-02-15 10:00:00.000 UTC,37.03383415771628,100191.70526862719,1988276.4197186972,4443857187.48846
2025-02-15 09:00:00.000 UTC,-1928.3088269761897,-5221686.755657094,1988239.3858845395,4443756995.783191
2025-02-15 08:00:00.000 UTC,-2890.8613361188336,-7810124.437338808,1990167.6947115157,4448978682.538848
2025-02-15 07:00:00.000 UTC,238.6808792538278,647242.8743165676,1993058.5560476345,4456788806.976187
2025-02-15 06:00:00.000 UTC,194.49729270366694,529863.1395938187,1992819.8751683806,4456141564.101871
2025-02-15 05:00:00.000 UTC,40.303695211180326,109737.69221014545,1992625.3778756768,4455611700.962276
2025-02-15 04:00:00.000 UTC,65.91171063260735,179791.32779520104,1992585.0741804657,4455501963.270066
2025-02-15 03:00:00.000 UTC,-45.22192152510385,-123595.5815010461,1992519.1624698332,4455322171.942271
2025-02-15 02:00:00.000 UTC,4.341922989614367,11853.493180877118,1992564.3843913584,4455445767.523772
2025-02-15 01:00:00.000 UTC,0.700867135588139,1904.7746490733086,1992560.0424683688,4455433914.030591
2025-02-15 00:00:00.000 UTC,4.6453447295154255,12668.598332545287,1992559.3416012332,4455432009.255942
2025-02-14 23:00:00.000 UTC,-870.6003028758244,-2367884.8217707532,1992554.6962565037,4455419340.65761
2025-02-14 22:00:00.000 UTC,991.5712394899911,2723231.4207105218,1993425.2965593794,4457787225.479381
2025-02-14 21:00:00.000 UTC,-243.01367716995085,-663077.3989788411,1992433.7253198894,4455063994.05867
2025-02-14 20:00:00.000 UTC,1185.489997556037,3247341.6209053984,1992676.7389970594,4455727071.457649
2025-02-14 19:00:00.000 UTC,-110.82017102374955,-305648.6808937627,1991491.2489995034,4452479729.836744
2025-02-14 18:00:00.000 UTC,158.54119623967088,440536.8365792111,1991602.0691705272,4452785378.517638
2025-02-14 17:00:00.000 UTC,-3062.24980643238,-8396842.081727909,1991443.5279742875,4452344841.681059
2025-02-14 16:00:00.000 UTC,843.74145417854,2307109.7574767163,1994505.7777807198,4460741683.762787
2025-02-14 15:00:00.000 UTC,341.2878904083559,928603.3952542874,1993662.0363265413,4458434574.00531
2025-02-14 14:00:00.000 UTC,-2556.623667595112,-6912368.97631358,1993320.748436133,4457505970.610056
2025-02-14 13:00:00.000 UTC,-1122.971731012019,-3017717.013879359,1995877.3721037281,4464418339.5863695
2025-02-14 12:00:00.000 UTC,11920.871577098795,32043422.00795733,1997000.34383474,4467436056.600249
2025-02-14 11:00:00.000 UTC,33.71729784880182,91254.51793586818,1985079.4722576414,4435392634.592292
2025-02-14 10:00:00.000 UTC,-3626.9937895773646,-9848412.506777314,1985045.7549597926,4435301380.074356
2025-02-14 09:00:00.000 UTC,-2740.2311830599297,-7419148.525822928,1988672.74874937,4445149792.581134
2025-02-14 08:00:00.000 UTC,-6623.828508981309,-17898710.682114024,1991412.97993243,4452568941.1069565
2025-02-14 07:00:00.000 UTC,-11699.40220331787,-31616815.49631231,1998036.8084414112,4470467651.78907
2025-02-14 06:00:00.000 UTC,-1021.9248807874941,-2760311.0762462923,2009736.2106447292,4502084467.285382
2025-02-14 05:00:00.000 UTC,-650.0322073962436,-1756322.0211639106,2010758.1355255167,4504844778.361629
2025-02-14 04:00:00.000 UTC,367.8229409412539,998907.7954023913,2011408.167732913,4506601100.382792
2025-02-14 03:00:00.000 UTC,661.4309797762569,1781941.3596858205,2011040.3447919718,4505602192.58739
2025-02-14 02:00:00.000 UTC,10596.276603654043,28431293.60632831,2010378.9138121956,4503820251.227704
2025-02-14 01:00:00.000 UTC,155.1725949257747,415249.62265111937,1999782.6372085416,4475388957.621376
2025-02-14 00:00:00.000 UTC,798.1768728274419,2137094.6316892905,1999627.4646136158,4474973707.998725
2025-02-13 23:00:00.000 UTC,1226.5175479468871,3276322.7347776424,1998829.2877407884,4472836613.367036
2025-02-13 22:00:00.000 UTC,4751.591970895525,12681428.77928365,1997602.7701928415,4469560290.632258
2025-02-13 21:00:00.000 UTC,4202.491334539153,11158118.792161597,1992851.1782219461,4456878861.852975
2025-02-13 20:00:00.000 UTC,71.01166313488149,187720.7517303219,1988648.686887407,4445720743.060813
2025-02-13 19:00:00.000 UTC,-117.2327570703479,-309476.8937521579,1988577.675224272,4445533022.309083
2025-02-13 18:00:00.000 UTC,341.5329389972795,899843.6650349121,1988694.9079813424,4445842499.202835
2025-02-13 17:00:00.000 UTC,857.4327508284687,2253033.167714426,1988353.3750423451,4444942655.5378
2025-02-13 16:00:00.000 UTC,-3343.620203398739,-8856748.375772748,1987495.9422915166,4442689622.370086
2025-02-13 15:00:00.000 UTC,60.23606654523269,159030.44400739972,1990839.5624949152,4451546370.745858
2025-02-13 14:00:00.000 UTC,-704.2496518453307,-1876029.5200612212,1990779.32642837,4451387340.30185
2025-02-13 13:00:00.000 UTC,-375.0495293570107,-996750.3816956596,1991483.5760802154,4453263369.821912
2025-02-13 12:00:00.000 UTC,91.52175485221372,243148.59176852176,1991858.6256095725,4454260120.203608
2025-02-13 11:00:00.000 UTC,2579.152282752355,6908078.848692389,1991767.1038547202,4454016971.611839
2025-02-13 10:00:00.000 UTC,297.90080452752886,799678.9616576079,1989187.951571968,4447108892.763147
2025-02-13 09:00:00.000 UTC,21383.695515163872,57049988.938815996,1988890.0507674403,4446309213.80149
2025-02-13 08:00:00.000 UTC,7033.1735804325945,18867332.110340085,1967506.3552522764,4389259224.862674
2025-02-13 07:00:00.000 UTC,2256.1188446198953,6062259.019058998,1960473.1816718439,4370391892.752334
2025-02-13 06:00:00.000 UTC,875.4062055287962,2382085.333988518,1958217.062827224,4364329633.733274
2025-02-13 05:00:00.000 UTC,-1301.9052850361527,-3544059.5859782654,1957341.656621695,4361947548.399286
2025-02-13 04:00:00.000 UTC,-186.07463697672674,-510598.10759598704,1958643.5619067312,4365491607.985265
2025-02-13 03:00:00.000 UTC,85.46737752330836,234127.62463980046,1958829.636543708,4366002206.092861
2025-02-13 02:00:00.000 UTC,-12826.054586059616,-35281269.652603485,1958744.1691661847,4365768078.468222
2025-02-13 01:00:00.000 UTC,6738.7687491693605,18383428.53542151,1971570.2237522444,4401049348.120825
2025-02-13 00:00:00.000 UTC,-886.0133533304582,-2426223.526225994,1964831.455003075,4382665919.585403
2025-02-12 23:00:00.000 UTC,-10815.207862337824,-29741821.621429015,1965717.4683564056,4385092143.1116295
2025-02-12 22:00:00.000 UTC,536.2770733885313,1439630.4407407783,1976532.6762187434,4414833964.733059
2025-02-12 21:00:00.000 UTC,325.2213868074963,871446.9670200268,1975996.399145355,4413394334.292318
2025-02-12 20:00:00.000 UTC,44.359284811546516,118838.08041728499,1975671.1777585475,4412522887.325298
2025-02-12 19:00:00.000 UTC,-5466.4464163299,-14565455.805239344,1975626.8184737358,4412404049.244881
2025-02-12 18:00:00.000 UTC,17194.789866221792,45963048.89560015,1981093.2648900656,4426969505.05012
2025-02-12 17:00:00.000 UTC,-10513.037341171523,-27853661.65319348,1963898.4750238438,4381006456.15452
2025-02-12 16:00:00.000 UTC,-3719.4856594050125,-9701348.471143125,1974411.5123650152,4408860117.8077135
2025-02-12 15:00:00.000 UTC,83.25122009656197,216478.1476170901,1978130.9980244203,4418561466.278856
2025-02-12 14:00:00.000 UTC,-240.30973018893607,-624485.6865500825,1978047.7468043237,4418344988.131239
2025-02-12 13:00:00.000 UTC,7122.475321789933,18748847.91331373,1978288.0565345127,4418969473.817789
2025-02-12 12:00:00.000 UTC,2418.5972180285275,6358879.0617518835,1971165.5812127227,4400220625.904475
