hour,token_col,collateral_amount_usd,debt_amount_usd,extracted,liquidation_count
2025-02-12 02:00:00,WETH,0,0,0,0
2025-02-12 01:00:00,WETH,77.08723680350681,69.65792023204601,7.429316571460802,1
2025-02-12 00:00:00,WETH,0,0,0,0
2025-02-11 23:00:00,WETH,60.31489491726059,57.4427570640577,2.8721378532028865,1
2025-02-11 22:00:00,WETH,0,0,0,0
2025-02-11 21:00:00,WETH,0,0,0,0
2025-02-11 20:00:00,WETH,0,0,0,0
2025-02-11 19:00:00,WETH,0,0,0,0
2025-02-11 18:00:00,WETH,0,0,0,0
2025-02-11 17:00:00,WETH,0,0,0,0
2025-02-11 16:00:00,WETH,0,0,0,0
2025-02-11 15:00:00,WETH,0,0,0,0
2025-02-11 14:00:00,WETH,0,0,0,0
2025-02-11 13:00:00,WETH,0,0,0,0
2025-02-11 12:00:00,WETH,0,0,0,0
2025-02-11 11:00:00,WETH,0,0,0,0
2025-02-11 10:00:00,WETH,0,0,0,0
2025-02-11 09:00:00,WETH,0,0,0,0
2025-02-11 08:00:00,WETH,0,0,0,0
2025-02-11 07:00:00,WETH,0,0,0,0
2025-02-11 06:00:00,WETH,0,0,0,0
2025-02-11 05:00:00,WETH,0,0,0,0
2025-02-11 04:00:00,WETH,0,0,0,0
2025-02-11 03:00:00,WETH,0,0,0,0
2025-02-11 02:00:00,WETH,0,0,0,0
2025-02-11 01:00:00,WETH,0,0,0,0
2025-02-11 00:00:00,WETH,0,0,0,0
2025-02-10 23:00:00,WETH,0,0,0,0
2025-02-10 22:00:00,WETH,0,0,0,0
2025-02-10 21:00:00,WETH,0,0,0,0
2025-02-10 20:00:00,WETH,0,0,0,0
2025-02-10 19:00:00,WETH,0,0,0,0
2025-02-10 18:00:00,WETH,0,0,0,0
2025-02-10 17:00:00,WETH,0,0,0,0
2025-02-10 16:00:00,WETH,0,0,0,0
2025-02-10 15:00:00,WETH,0,0,0,0
2025-02-10 14:00:00,WETH,0,0,0,0
2025-02-10 13:00:00,WETH,0,0,0,0
2025-02-10 12:00:00,WETH,0,0,0,0
2025-02-10 11:00:00,WETH,0,0,0,0
2025-02-10 10:00:00,WETH,0,0,0,0
2025-02-10 09:00:00,WETH,0,0,0,0
2025-02-10 08:00:00,WETH,0,0,0,0
2025-02-10 07:00:00,WETH,96.14051964204049,92.083077709338,4.057441932702488,2
2025-02-10 06:00:00,WETH,0,0,0,0
2025-02-10 05:00:00,WETH,0,0,0,0
2025-02-10 04:00:00,WETH,0,0,0,0
2025-02-10 03:00:00,WETH,0,0,0,0
2025-02-10 02:00:00,WETH,43.052523560823964,40.96329314416667,2.089230416657294,1
2025-02-10 01:00:00,WETH,0,0,0,0
2025-02-10 00:00:00,WETH,0,0,0,0
2025-02-09 23:00:00,WETH,0,0,0,0
2025-02-09 22:00:00,WETH,484.6430852638549,453.4065371299122,31.236548133942733,2
2025-02-09 21:00:00,WETH,35458.06303654428,33187.98090940778,2270.082127136496,9
2025-02-09 20:00:00,WETH,0,0,0,0
2025-02-09 19:00:00,WETH,0,0,0,0
2025-02-09 18:00:00,WETH,0,0,0,0
2025-02-09 17:00:00,WETH,0,0,0,0
2025-02-09 16:00:00,WETH,0,0,0,0
2025-02-09 15:00:00,WETH,0,0,0,0
2025-02-09 14:00:00,WETH,0,0,0,0
2025-02-09 13:00:00,WETH,0,0,0,0
2025-02-09 12:00:00,WETH,0,0,0,0
2025-02-09 11:00:00,WETH,0,0,0,0
2025-02-09 10:00:00,WETH,0,0,0,0
2025-02-09 09:00:00,WETH,0,0,0,0
2025-02-09 08:00:00,WETH,0,0,0,0
2025-02-09 07:00:00,WETH,0,0,0,0
2025-02-09 06:00:00,WETH,0,0,0,0
2025-02-09 05:00:00,WETH,0,0,0,0
2025-02-09 04:00:00,WETH,0,0,0,0
2025-02-09 03:00:00,WETH,0,0,0,0
2025-02-09 02:00:00,WETH,0,0,0,0
2025-02-09 01:00:00,WETH,0,0,0,0
2025-02-09 00:00:00,WETH,0,0,0,0
2025-02-08 23:00:00,WETH,0,0,0,0
2025-02-08 22:00:00,WETH,0,0,0,0
