Threshold,Sharpe_Ratio
330000000,0.0938
331000000,0.0938
332000000,0.1192
333000000,0.1443
334000000,0.1443
335000000,0.1443
336000000,0.1269
337000000,0.1271
338000000,0.1271
339000000,0.2327
340000000,0.2447
341000000,0.2447
342000000,0.2447
343000000,0.2278
344000000,0.2278
345000000,0.2535
346000000,0.2471
347000000,0.2471
348000000,0.2471
349000000,0.2471
350000000,0.2830
351000000,0.2830
352000000,0.2430
353000000,0.2430
354000000,0.2416
355000000,0.2174
356000000,0.2543
357000000,0.2543
358000000,0.2754
359000000,0.2748
360000000,0.1666
361000000,0.1771
362000000,0.1851
363000000,0.1851
364000000,0.1851
365000000,0.1851
366000000,0.1851
367000000,0.1857
368000000,0.1857
369000000,0.1936
370000000,0.1865
371000000,0.2144
372000000,0.2144
373000000,0.1596
374000000,0.1286
375000000,0.0282
376000000,0.0282
377000000,0.0282
378000000,0.0282
379000000,0.0282
380000000,0.0282
381000000,0.0282
382000000,-0.0439
383000000,-0.0439
384000000,-0.0439
385000000,-0.0439
386000000,-0.0161
387000000,-0.0161
388000000,-0.0161
389000000,-0.0621
390000000,-0.0621
391000000,-0.0621
392000000,-0.0942
393000000,-0.0677
394000000,-0.0677
395000000,-0.0677
396000000,-0.0677
397000000,-0.0677
398000000,-0.0677
399000000,-0.2100
400000000,-0.2100
401000000,-0.2241
402000000,-0.2241
403000000,-0.2241
404000000,-0.2030
405000000,-0.1499
406000000,-0.1097
407000000,-0.1097
408000000,-0.1097
409000000,-0.1097
410000000,-0.1097
411000000,-0.1180
412000000,-0.1180
413000000,-0.1180
414000000,-0.1180
415000000,-0.1246
416000000,-0.1109
417000000,-0.1109
418000000,-0.1109
419000000,-0.1109
420000000,-0.1000
421000000,-0.1000
422000000,-0.1000
423000000,-0.0566
424000000,-0.0688
425000000,-0.0688
426000000,-0.0688
427000000,-0.0688
428000000,0.0232
429000000,0.0232
430000000,0.0232
431000000,0.0232
432000000,0.0232
433000000,0.0232
434000000,-0.0112
435000000,-0.0112
436000000,-0.0112
437000000,-0.0112
438000000,-0.0112
439000000,-0.0112
440000000,0.0102
441000000,0.0102
442000000,0.0102
443000000,0.0102
444000000,-0.0135
445000000,-0.0135
446000000,-0.0395
447000000,-0.0395
448000000,-0.0384
449000000,-0.0384
450000000,-0.0384
451000000,0.0996
452000000,0.2541
453000000,0.2541
454000000,0.2541
455000000,0.2071
456000000,0.2071
457000000,0.2071
458000000,0.3064
459000000,0.3064
460000000,0.3064
461000000,0.3064
462000000,0.3064
463000000,0.3166
464000000,0.3166
465000000,0.3166
466000000,0.3166
467000000,0.3166
468000000,0.3560
469000000,0.3560
470000000,0.3560
471000000,0.3560
472000000,0.3560
473000000,0.3428
474000000,0.3428
475000000,0.3428
476000000,0.3428
477000000,0.3428
478000000,0.3986
479000000,0.3986
480000000,0.3767
481000000,0.4263
482000000,0.4263
483000000,0.4263
484000000,0.4511
485000000,0.4511
486000000,0.4428
487000000,0.4428
488000000,0.4428
489000000,0.4428
490000000,0.4428
491000000,0.4428
492000000,0.4796
493000000,0.5528
494000000,0.5967
495000000,0.6139
496000000,0.6139
497000000,0.6139
498000000,0.6139
499000000,0.6139
500000000,0.5222
501000000,0.5000
502000000,0.5000
503000000,0.5000
504000000,0.5000
505000000,0.5000
506000000,0.5000
507000000,0.5000
508000000,0.5000
509000000,0.5000
510000000,0.5000
511000000,0.5000
512000000,0.5000
513000000,0.5164
514000000,0.4690
515000000,0.4690
516000000,0.4690
517000000,0.4777
518000000,0.4777
519000000,0.4777
520000000,0.4777
521000000,0.4777
522000000,0.4483
523000000,0.4296
524000000,0.4296
525000000,0.4296
526000000,0.4296
527000000,0.4296
528000000,0.4296
529000000,0.4296
530000000,0.4171
531000000,0.4171
532000000,0.4563
533000000,0.4563
534000000,0.4563
535000000,0.4192
536000000,0.4192
537000000,0.4192
538000000,0.4192
539000000,0.4192
540000000,0.4192
541000000,0.4274
542000000,0.4274
543000000,0.4274
544000000,0.4274
545000000,0.4274
546000000,0.4274
547000000,0.4432
548000000,0.4432
549000000,0.4259
550000000,0.4664
551000000,0.4664
552000000,0.4664
553000000,0.3438
554000000,0.3438
555000000,0.3072
556000000,0.3072
557000000,0.3072
558000000,0.2826
559000000,0.2687
560000000,0.2687
561000000,0.2687
562000000,0.2687
563000000,0.2687
564000000,0.3265
565000000,0.3265
566000000,0.3265
567000000,0.3265
568000000,0.3265
569000000,0.3265
570000000,0.3265
571000000,0.3265
572000000,0.3265
573000000,0.3265
574000000,0.3265
575000000,0.3265
576000000,0.4566
577000000,0.4566
578000000,0.4566
579000000,0.4009
580000000,0.4009
581000000,0.4009
582000000,0.4009
583000000,0.4009
584000000,0.4009
585000000,0.4009
586000000,0.4834
587000000,0.4834
588000000,0.5023
589000000,0.5023
590000000,0.4787
591000000,0.4787
592000000,0.4787
593000000,0.4787
594000000,0.4160
595000000,0.4160
596000000,0.4160
597000000,0.4233
598000000,0.4233
599000000,0.4233
600000000,0.4233
601000000,0.4233
602000000,0.4910
603000000,0.4910
604000000,0.4910
605000000,0.4910
606000000,0.4910
607000000,0.4910
608000000,0.4910
609000000,0.4910
610000000,0.4910
611000000,0.4910
612000000,0.5531
613000000,0.5531
614000000,0.5531
615000000,0.6773
616000000,0.6773
617000000,0.6773
618000000,0.6773
619000000,0.6760
620000000,0.6760
621000000,0.6760
622000000,0.6088
623000000,0.5180
624000000,0.5180
625000000,0.5180
626000000,0.5180
627000000,0.5180
628000000,0.5861
629000000,0.5856
630000000,0.5856
631000000,0.5856
632000000,0.5257
633000000,0.5257
634000000,0.5257
635000000,0.5257
636000000,0.5257
637000000,0.5257
638000000,0.5257
639000000,0.5257
640000000,0.5257
641000000,0.5257
642000000,0.5257
643000000,0.5257
644000000,0.5257
645000000,0.5257
646000000,0.5257
647000000,0.5257
648000000,0.5257
649000000,0.5257
650000000,0.5597
651000000,0.5597
652000000,0.5597
653000000,0.5597
654000000,0.5597
655000000,0.5597
656000000,0.8442
657000000,0.8442
658000000,0.8442
659000000,0.8442
660000000,0.8442
661000000,0.8442
662000000,0.8442
663000000,0.8161
664000000,0.8161
665000000,0.8243
666000000,0.8243
667000000,0.8243
668000000,0.8287
669000000,0.8287
670000000,0.8287
671000000,0.8287
672000000,0.7828
673000000,0.7828
674000000,0.8289
675000000,0.8289
676000000,0.8674
677000000,0.8674
678000000,0.8277
679000000,0.8277
680000000,0.8277
681000000,0.8277
682000000,0.8277
683000000,0.8277
684000000,0.8277
685000000,0.8277
686000000,0.8277
687000000,0.8277
688000000,0.8758
689000000,0.8758
690000000,0.8758
691000000,0.8758
692000000,0.8758
693000000,0.8758
694000000,0.8650
695000000,0.8858
696000000,0.8858
