week,size_full_block,size_without_witness,size_witness
2018-02-12,1.0120976985559567,0.9288979539711192,0.08319974458483757
2015-02-16,0.38123868073394496,0.38123868073394496,0
2012-04-30,0.03267646080139373,0.03267646080139373,0
2019-06-03,1.1665024946025515,0.8547994730127576,0.31170302158979385
2017-08-14,0.9669095093046033,0.9669095093046033,0
2017-01-23,0.9179762648148148,0.9179762648148148,0
2024-04-22,1.5516754054316197,0.8088896847720659,0.7427857206595538
2013-05-20,0.15885186811201446,0.15885186811201446,0
2017-07-03,0.8742655765258216,0.8742655765258216,0
2021-01-18,1.29840947,0.888265147,0.410144323
2013-01-28,0.15087811345646437,0.15087811345646437,0
2020-01-06,0.9909433709226468,0.7017738956197577,0.2891694753028891
2018-09-03,0.8369511209439529,0.653989063913471,0.18296205703048188
2012-03-05,0.020381558073654393,0.020381558073654393,0
2014-05-26,0.24111066056724612,0.24111066056724612,0
2014-03-31,0.19931641449960597,0.19931641449960597,0
2023-12-18,1.7136842857142858,0.7505241866071429,0.9631600991071427
2012-04-23,0.024135893241919688,0.024135893241919688,0
2019-12-23,0.9319578468379447,0.6602476976284585,0.2717101492094862
2020-02-24,1.0460284760076775,0.7298980230326295,0.316130452975048
2017-05-08,0.9662420767824498,0.9662420767824498,0
2024-02-12,1.9214723931034483,0.6894627921182267,1.2320096009852215
2022-01-24,1.1506278656126483,0.649399078063241,0.5012287875494071
2018-12-24,0.8817386010685663,0.6954451531611754,0.18629344790739089
2021-10-11,1.206952824509804,0.6856011058823529,0.521351718627451
2021-06-14,1.2431572032902467,0.7856364923619271,0.4575207109283195
2017-12-11,1.0534109721995093,0.9712580588716272,0.08215291332788219
2016-01-11,0.7008112895752896,0.7008112895752896,0
2022-08-29,1.1596681480420248,0.6307310085959885,0.5289371394460363
2016-05-02,0.6918326018018018,0.6918326018018018,0
2021-03-15,1.336668649089166,0.8773269568552252,0.4593416922339407
2022-10-24,1.2239162710659897,0.6622303746192894,0.5616858964467004
2012-04-16,0.026240339215686276,0.026240339215686276,0
2019-05-27,1.230666587406015,0.8891244821428571,0.34154210526315787
2020-02-17,1.0651589214145383,0.7433297868369352,0.3218291345776031
2017-08-21,0.9757581078787879,0.9753013951515151,0.00045671272727276665
2023-11-06,1.6595585384615386,0.7767741207400195,0.882784417721519
2017-04-24,0.9725887965116279,0.9725887965116279,0
2024-09-16,1.687455916929548,0.764570189274448,0.9228857276550999
2016-04-25,0.8031438601398602,0.8031438601398602,0
2019-04-15,1.215385037181996,0.9056698189823874,0.3097152181996086
2018-09-10,0.8293902362911266,0.6442327447657029,0.1851574915254237
2024-08-12,1.6179124770731708,0.7854577229268292,0.8324547541463415
2018-04-02,0.6230192942779291,0.5235455113533152,0.09947378292461398
2016-04-18,0.7373898910696761,0.7373898910696761,0
2024-06-03,1.501514311637081,0.822893026627219,0.6786212850098621
2023-11-13,1.66484073046875,0.7698063759765625,0.8950343544921875
2015-09-21,0.47500535625596946,0.47500535625596946,0
2015-06-01,0.41834479514563105,0.41834479514563105,0
2016-06-13,0.8899596818181817,0.8899596818181817,0
2013-10-21,0.1346213427419355,0.1346213427419355,0
2016-05-09,0.7543901332046332,0.7543901332046332,0
2013-07-01,0.09391118965517242,0.09391118965517242,0
2022-12-26,1.1402431418786694,0.6078584980430528,0.5323846438356166
2013-01-21,0.15521505588822354,0.15521505588822354,0
2017-03-20,0.9073719037735849,0.9073719037735849,0
2023-04-03,1.9149444449853943,0.6916250019474197,1.2233194430379746
2016-12-12,0.8694781444007859,0.8694781444007859,0
2021-08-23,0.9763654527272727,0.5727882545454546,0.40357719818181825
2024-09-30,1.62883465523633,0.7833746626506024,0.8454599925857275
2011-12-26,0.0170729477124183,0.0170729477124183,0
2012-12-03,0.11394292425905599,0.11394292425905599,0
2015-11-02,0.6535032411483254,0.6535032411483254,0
2022-08-22,1.0509857635869566,0.5668839492753623,0.4841018143115942
2014-02-03,0.2098209872665535,0.2098209872665535,0
2020-03-02,1.0486089491833033,0.7421620471869329,0.3064469019963703
2024-01-01,1.7599997633663367,0.7412790772277227,1.018720686138614
2019-11-11,1.0790297057142857,0.804874820952381,0.2741548847619046
2020-10-12,1.1700967449856734,0.8059595912129895,0.3641371537726838
2022-05-16,1.321892625,0.7248558319327731,0.5970367930672269
2016-09-26,0.7737202426260704,0.7737202426260704,0
2023-06-05,1.7381129990601505,0.7506065291353384,0.9875064699248121
2018-10-22,0.9693668926380369,0.7389458159509202,0.23042107668711664
2019-09-23,1.044598403902439,0.7405103053658537,0.30408809853658536
2013-03-18,0.12243888483146068,0.12243888483146068,0
2020-04-13,1.081453949044586,0.7271786323930846,0.35427531665150136
2021-02-01,1.3121156153846154,0.8855404681050656,0.42657514727954987
2023-07-24,1.6721298742574258,0.7699266772277228,0.902203197029703
2017-03-13,0.9622183498134328,0.9622183498134328,0
2013-10-14,0.12140996602265157,0.12140996602265157,0
2017-10-23,0.957040052581262,0.8953405697896749,0.06169948279158701
2021-08-16,1.0569202043010753,0.6463743369175627,0.41054586738351256
2013-12-09,0.17810166827309237,0.17810166827309237,0
2018-07-16,0.7926127566089335,0.6422435542388332,0.15036920237010032
2019-09-16,1.0197916693548386,0.7159222132616487,0.3038694560931899
2019-02-11,1.0865184356929214,0.8051325663010966,0.2813858693918246
2019-02-04,0.9825749096774193,0.748494199078341,0.23408071059907834
2014-04-14,0.21700844583333334,0.21700844583333334,0
2017-01-16,0.7773936343096234,0.7773936343096234,0
2012-08-13,0.11714327412082957,0.11714327412082957,0
