month,total_fees,total_mined,fees_percent
2024-06-18 00:00:00.000 UTC,2433457.548726014,31010134.49826388,0.07276304367386392
2024-01-12 00:00:00.000 UTC,4858468.24033636,47390280.54687503,0.09298726482662753
2024-10-20 00:00:00.000 UTC,926124.7681597352,36993762.08626304,0.024423194397050714
2024-02-13 00:00:00.000 UTC,2354368.237485274,41882727.56835928,0.053221582352931444
2024-02-27 00:00:00.000 UTC,2721267.3070965153,45549031.82552088,0.05637560479209233
2024-08-22 00:00:00.000 UTC,6087773.1048355475,30358431.006944306,0.1670344896868946
2024-06-05 00:00:00.000 UTC,4014177.2028094814,27317105.007486973,0.12812042532655415
2024-10-01 00:00:00.000 UTC,497154.6538363728,30851559.52853734,0.015858853123740094
2024-05-17 00:00:00.000 UTC,1433516.6877011876,32103914.89420579,0.0427437826954689
2024-05-30 00:00:00.000 UTC,2554707.0997620346,26216738.866210997,0.08879314243654615
2024-09-04 00:00:00.000 UTC,444528.6475329797,26990599.95941842,0.016202900081188132
2024-08-11 00:00:00.000 UTC,398221.99090451555,30427349.20844176,0.012918559994533393
2024-07-07 00:00:00.000 UTC,707557.4735746387,25299430.571289092,0.027206436683635045
2024-01-31 00:00:00.000 UTC,2139863.4481053837,35151740.268880196,0.05738190999629009
2024-11-02 00:00:00.000 UTC,494842.0465528268,30654066.36881514,0.01588633668808394
2024-03-03 00:00:00.000 UTC,2873206.2130680825,60329706.47786459,0.045460028513532154
2024-12-07 00:00:00.000 UTC,1901541.6433119464,44260562.76085067,0.04119269838011278
2024-03-30 00:00:00.000 UTC,2094241.450417892,67886147.46961783,0.029926119056167474
2024-08-03 00:00:00.000 UTC,504694.2168992768,25877772.714843765,0.01912990995895214
2024-08-16 00:00:00.000 UTC,519940.4873494835,25950751.180989545,0.019642119437754325
2024-04-26 00:00:00.000 UTC,6208055.253324356,26671758.998372387,0.1888105329854165
2024-11-18 00:00:00.000 UTC,1594628.634045291,44362877.677083366,0.034697892945926664
2024-10-06 00:00:00.000 UTC,607825.014614648,29585326.263020918,0.02013122144904667
2024-04-05 00:00:00.000 UTC,1400509.5642516231,62478072.33072914,0.021924556286395388
2024-09-26 00:00:00.000 UTC,548281.1565209191,26109894.588758677,0.020567092128125235
2024-06-01 00:00:00.000 UTC,2994338.889115833,29832266.442382865,0.09121683033861018
2024-10-25 00:00:00.000 UTC,2480223.4544029706,32329339.1611328,0.0712512099561983
2024-05-28 00:00:00.000 UTC,1230789.7660282503,28590567.00303823,0.04127209152686646
2024-05-19 00:00:00.000 UTC,1093994.5651937933,32188888.870225564,0.03286958497200317
2024-08-25 00:00:00.000 UTC,451078.7788733623,26671848.444335897,0.016630903263544924
2024-04-17 00:00:00.000 UTC,7507595.218002452,53584176.88042526,0.12289044760244679
2024-10-28 00:00:00.000 UTC,521603.3050189378,36031915.9192708,0.014269578308409043
2024-11-04 00:00:00.000 UTC,431069.85241888685,32326156.827148434,0.013159534432985787
2023-12-17 00:00:00.000 UTC,23092443.80262888,39362170.605468966,0.3697476002611382
2024-11-16 00:00:00.000 UTC,1661907.9575231927,44702971.54633245,0.03584411251160462
2024-07-05 00:00:00.000 UTC,821281.0883853835,21095992.120442692,0.03747186434006668
2024-03-21 00:00:00.000 UTC,2540861.672181435,50033116.58854152,0.04832926394842875
2024-01-18 00:00:00.000 UTC,5127718.479888121,37519301.90928808,0.12023626581869092
2024-12-11 00:00:00.000 UTC,1871459.1481778014,43860111.15863719,0.04092269597615181
2024-05-14 00:00:00.000 UTC,1350889.1412640202,26328482.028645825,0.048804907198634895
2024-07-10 00:00:00.000 UTC,938735.7558652351,24709308.631944437,0.03660067573461505
2024-12-06 00:00:00.000 UTC,1405267.2220799436,42043790.21354153,0.032342870133883345
2024-03-10 00:00:00.000 UTC,2536467.209138467,62038234.41167541,0.03927958078742259
2024-08-17 00:00:00.000 UTC,429682.0947390011,27623342.375976507,0.015316783229114755
2024-10-23 00:00:00.000 UTC,1587013.5059518663,31425314.076822884,0.048073359928124
2024-03-04 00:00:00.000 UTC,5412779.313943804,52709246.84049486,0.09312784966513835
2024-01-06 00:00:00.000 UTC,3832940.7183358143,38420234.14930553,0.09071367371428428
2024-02-01 00:00:00.000 UTC,2426708.8677429534,40604242.343749836,0.05639449743548367
2024-06-08 00:00:00.000 UTC,10800652.930597516,37327907.643663175,0.22441254842709216
2024-10-21 00:00:00.000 UTC,1193457.3956308267,36406609.1230469,0.031740832028527934
2024-08-30 00:00:00.000 UTC,473966.8170525213,26246477.798611097,0.017737983924664198
2024-04-23 00:00:00.000 UTC,29161037.60239281,34909164.42708343,0.4551419642625278
2024-07-29 00:00:00.000 UTC,745588.5667473647,38164494.03450515,0.01916183459151444
2023-12-30 00:00:00.000 UTC,11143760.827218901,38211252.53580715,0.22578781906616138
2024-05-12 00:00:00.000 UTC,1333654.7415044354,25238029.1080729,0.050190825280560805
2024-09-25 00:00:00.000 UTC,423922.5962589923,28691194.89062503,0.014560222758845602
2024-08-18 00:00:00.000 UTC,431145.45299642417,29112248.91927079,0.014593632930721944
2024-08-24 00:00:00.000 UTC,481172.30076999654,30656073.98535151,0.015453270862441828
2024-01-25 00:00:00.000 UTC,2563636.5322080934,45220151.89019091,0.0536507593233518
2024-06-29 00:00:00.000 UTC,987348.2633738655,29889014.862196162,0.031977479321591486
2024-11-21 00:00:00.000 UTC,2224274.244509343,43706585.42187502,0.04842657552384619
2024-04-07 00:00:00.000 UTC,1508498.6726348589,73782610.4296875,0.02003554856104954
